CENTENARIO,,,,,
"CEPEDA y AHUMADA, RODRIGO de",,,,,
CERETTI,,,,,
"CERRI, DANIEL, Gral.",,,,,
CERRILLOS,,,,,
CERRITO,,,,,
CERVANTES,,,,,
CERVIÑO,,,,,
CESPEDES,,,,,
"CEVALLOS, Virrey",,,,,
CHACABUCO,,,,,
CHACO,,,,,
"CHAGAS, CARLOS",,,,,
CHAJARI,,,,,
CHAMICAL,,,,,
CHARCAS,,,,,
CHARLONE,,,,,
CHARRUA,,,,,
CHASCOMUS,,,,,
"CHASSAING, JUAN",,,,,
"CHAVEZ, JORGE",,,,,
CHECOSLOVAQUIA,,,,,
"CHENAUT, INDALESIO, GRAL.",,,,,
CHICLANA,,,,,
CHICOANA,,,,,
"CHILAVERT, MARTINIANO, Cnel.",,,,,
CHILE,,,,,
CHILECITO,,,,,
CHIMBORAZO,,,,,
CHINA,,,,,
CHIRIGUANOS,,,,,
CHIRIMAY,,,,,
CHIVILCOY,,,,,
CHONINO,,,,,
CHORROARIN,,,,,
CHUBUT,,,,,
CHUMBICHA,,,,,
"CHUTRO, PEDRO,  Prof., Dr.",,,,,
CIPOLLETTI,,,,,
CISNE,,,,,
"CISNEROS, Virrey",,,,,
"CITTADINI, BASILIO",,,,,
CIUDAD DE LA PAZ,,,,,
CIUDAD DE SABADELL,,,,,
CIUDADELA,,,,,
"CIVIT, EMILIO",,,,,
CLAY,,,,,
COBO,,,,,
COCHABAMBA,,,,,
COCHICO,,,,,
COCHRANE,,,,,
"COGHLAN, JUAN M.",,,,,
COLIGUE,,,,,
COLIQUEO,,,,,
"COLLIVADINO, PIO",,,,,
"COLMO, ALFREDO",,,,,
COLOMBIA,,,,,
COLOMBO LEONI EDUARDO,,,,,
COLOMBRES,,,,,
COLONIA,,,,,
COLPAYO,,,,,
COLUMBIA,,,,,
COMBATE DE COSTA BRAVA,,,,,
COMBATE DE LOS POZOS,,,,,
COMBATE DE SAN CARLOS,,,,,
COMBATIENTES DE MALVINAS,,,,,
CONCORDIA,,,,,
CONDARCO,,,,,
CONDE,,,,,
CONDOR,,,,,
CONESA,,,,,
CONGRESO,,,,,
"CONI, EMILIO R., Dr.",,,,,
CONSTANTINOPLA,,,,,
CONSTITUCION,,,,,
CONVENCION,,,,,
"COOKE, JOHN W.",,,,,
COOPERACION,,,,,
COPAHUE,,,,,
COPENHAGUE,,,,,
COPERNICO,,,,,
CORBETA AGREABLE,,,,,
CORBETA BELFAST,,,,,
CORBETA URUGUAY,,,,,
CORDOBA,,,,,
COREA,,,,,
"CORONADO, MARTIN",,,,,
CORONDA,,,,,
CORRALES,,,,,
CORRALES VIEJOS,,,,,
CORREA,,,,,
"CORREA, BENITO",,,,,
"CORREA, GUILLERMO, Dr.",,,,,
"CORREA, MORALES LUCIO",,,,,
CORREGIDORES,,,,,
CORRIENTES,,,,,
"CORRO, MIGUEL C. DEL, CANONIGO",,,,,
"CORTEJARENA, JOSE A.",,,,,
"CORTES, GERONIMO",,,,,
CORTINA,,,,,
CORVALAN,,,,,
COSQUIN,,,,,
"COSSENTTINI, OLGA",,,,,
COSTA RICA,,,,,
"COSTA, EDUARDO",,,,,
